edition	case	result	program_sha256	kernel_iso_sha256
CHN/zh_Hant	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	00d24c7f838d4acb089f3d687a2f432b178cdcf370a0aea6c9962de3a665e3a4
IND/hi_Deva	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/hi_Deva	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/ta_Taml	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
